set;algorithm(parameters);implementation;runs;fails;nmeasure;tdmin [ns];tdmax [ns];tdavg [ns];tdvar [ns];tdstdev [ns];tdmedian [ns];nbuckets;hist_bucket[0];hist_bucket[1];hist_bucket[2];hist_bucket[3];hist_bucket[4];hist_bucket[5];hist_bucket[6];hist_bucket[7];hist_bucket[8];hist_bucket[9];hist_bucket[10];hist_bucket[11];hist_bucket[12];hist_bucket[13];hist_bucket[14];hist_bucket[15];hist_bucket[16];hist_bucket[17];hist_bucket[18];hist_bucket[19]
RVVRadar;memcpy(len=50000000);c byte noavect;100;0;100;255594320;551490714;260109771;1035470526178469;32178727;255790155;20;98;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
RVVRadar;memcpy(len=50000000);4 int regs;100;0;100;59422580;112743409;60965519;54225098596188;7363769;59518352;20;96;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1
RVVRadar;memcpy(len=50000000);c byte avect;100;0;100;43768888;45452483;43951352;29859537505;172799;43920222;20;7;53;29;6;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
RVVRadar;memcpy(len=50000000);system;100;0;100;41735123;42265753;41853020;7016922530;83767;41829854;20;3;13;21;18;16;9;5;5;1;2;3;1;0;0;2;0;0;0;0;1
RVVRadar;memcpy(len=50000000);rvv 32bit elements (no grouping);100;0;100;48062168;48502212;48160771;4760646133;68997;48152835;20;8;4;13;21;22;16;6;3;1;1;0;2;1;0;0;0;0;0;0;2
RVVRadar;memcpy(len=50000000);rvv 8bit elements (no grouping);100;0;100;45953987;46288197;46085542;4457759881;66766;46079779;20;1;4;2;6;11;10;8;16;15;5;9;3;0;1;0;1;1;3;3;1
RVVRadar;memcpy(len=50000000);rvv 8bit elements (group two);100;0;100;40480949;78966883;41893461;43210876451138;6573498;40561511;20;96;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2
RVVRadar;memcpy(len=50000000);rvv 8bit elements (group four);100;0;100;40574449;41597081;40661737;16764733552;129478;40632657;20;39;44;6;2;6;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1
RVVRadar;memcpy(len=50000000);rvv 8bit elements (group eight);100;0;100;40822159;41153119;40917042;4401172553;66341;40898389;20;7;7;9;14;19;5;11;5;8;6;1;0;0;1;2;1;1;2;0;1
RVVRadar;mac 32bit += 16bit * 16bit(len=50000000);c byte noavect;100;0;100;579252196;722043815;583659489;540027031149378;23238481;579557865;20;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
RVVRadar;mac 32bit += 16bit * 16bit(len=50000000);c byte avect;100;0;100;579291820;741220529;586693973;947868536936933;30787473;579619614;20;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1
RVVRadar;mac 32bit += 16bit * 16bit(len=50000000);rvv 32bit elements;100;0;100;286161573;427435597;290547367;535328780496259;23137173;286461533;20;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
RVVRadar;mac 32bit += 16bit * 16bit(len=50000000);rvv 16bit elements with widening;100;0;100;282383254;312362046;284740796;8546800442914;2923491;284331164;20;28;55;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
RVVRadar;mac 32bit = 16bit + 8bit * 8bit(len=50000000);c byte noavect;100;0;100;682504326;823791349;688383644;700060303143847;26458652;682878453;20;95;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
RVVRadar;mac 32bit = 16bit + 8bit * 8bit(len=50000000);c byte avect;100;0;100;682512366;816175586;689599508;757544925620090;27523534;682841805;20;94;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4
RVVRadar;mac 32bit = 16bit + 8bit * 8bit(len=50000000);rvv 32bit elements;100;0;100;366813172;489196731;368425972;148994358156374;12206324;367049278;20;98;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
RVVRadar;mac 32bit = 16bit + 8bit * 8bit(len=50000000);rvv 16bit elements with widening;100;0;100;174667629;494319891;267625770;7995896490783639;89419776;344613726;20;47;0;0;1;0;0;0;0;1;0;25;25;0;0;0;0;0;0;0;1
RVVRadar;mac 32bit = 16bit + 8bit * 8bit(len=50000000);rvv 8bit elements with double widening;100;0;100;170825602;278629726;172363445;120602103951677;10981898;170983291;20;98;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
RVVRadar;png_filters_up3(len=50000000,rowbytes=150000000);c byte noavect;100;0;100;1106116970;1247364618;1116141783;1209249806942830;34774269;1106513138;20;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6
RVVRadar;png_filters_up3(len=50000000,rowbytes=150000000);c byte avect;100;0;100;289259882;321459147;289821365;10136017812436;3183711;289510654;20;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
RVVRadar;png_filters_up3(len=50000000,rowbytes=150000000);rvv_m1;100;0;100;230276931;447701397;237138118;558350102310640;23629432;230928831;20;88;10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
RVVRadar;png_filters_up3(len=50000000,rowbytes=150000000);rvv_m2;100;0;100;207615565;340525154;210248343;291671009715997;17078378;207786795;20;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
RVVRadar;png_filters_up3(len=50000000,rowbytes=150000000);rvv_m4;100;0;100;204711961;338531348;206310608;176615947872313;13289693;204942546;20;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
RVVRadar;png_filters_up3(len=50000000,rowbytes=150000000);rvv_m8;100;0;100;203621787;255972900;204656264;33383019779346;5777804;203833538;20;98;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
RVVRadar;png_filters_up4(len=50000000,rowbytes=200000000);c byte noavect;100;0;100;1474130011;1618343923;1485245549;1261053095007727;35511309;1474870391;20;91;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;3
RVVRadar;png_filters_up4(len=50000000,rowbytes=200000000);c byte avect;100;0;100;385713423;519550017;388315458;269089426946097;16403945;385957632;20;98;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
RVVRadar;png_filters_up4(len=50000000,rowbytes=200000000);rvv_m1;100;0;100;307224587;517611253;316109301;811914965198658;28494121;310170232;20;86;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
RVVRadar;png_filters_up4(len=50000000,rowbytes=200000000);rvv_m2;100;0;100;276396789;410049506;280144369;394831271149219;19870361;276638478;20;97;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
RVVRadar;png_filters_up4(len=50000000,rowbytes=200000000);rvv_m4;100;0;100;272807723;336010952;273743317;39209626201433;6261759;273088682;20;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
